Feature_Name,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Feature_Type,Quad,Approval_Status,Origin
Pyramus Fossae,298.18,50.39,66.31,53.13,48.27,68.4,64.32,"Fossa, fossae",mc06,Approved,"From albedo feature at 65N, 300W."
Pyrrhae Chaos,162.35,-10.46,-28.4,-9.41,-11.6,-27.01,-29.8,"Chaos, chaoses",mc19,Approved,Albedo feature name.
Pyrrhae Fossae,430,-29.2,-23.8,-27.7,-30.6,-19.6,-28,"Fossa, fossae",mc19,Approved,"Classical martian albedo feature, Pyrrhae."
Pyrrhae Regio,0,-14.83,-38,-14.83,-14.83,-38,-38,Albedo Feature,mc19,Approved,"""Pyrrha's Region;"" named for Pyrrha, wife of Deucalion."
Qara,2.5,16.43,-150.3,16.45,16.41,-150.27,-150.32,"Crater, craters",mc08,Approved,Village in Egypt.
Qibā,4.08,17.13,103.09,17.16,17.09,103.12,103.05,"Crater, craters",mc14,Approved,Town in Saudi Arabia.
Quenisset,136.66,34.27,40.67,35.42,33.12,42.07,39.28,"Crater, craters",mc05,Approved,Ferdinand J.; French astronomer (1872-1951).
Quick,13.31,18.19,-49.25,18.3,18.08,-49.13,-49.37,"Crater, craters",mc10,Approved,"Town in British Columbia, Canada."
Quines,10.75,-41.86,89.25,-41.77,-41.95,89.38,89.13,"Crater, craters",mc28,Approved,Town in Argentina.
Quorn,6.33,-5.56,-33.62,-5.5,-5.61,-33.56,-33.67,"Crater, craters",mc19,Approved,Town in Australia.
Quthing,15.59,0.4,149.29,0.53,0.27,149.42,149.15,"Crater, craters",mc15,Approved,Town in Lesotho.
Rabe,106.95,-43.61,34.91,-42.71,-44.51,36.15,33.66,"Crater, craters",mc27,Approved,Wilhelm F.; German astronomer (1893-1958).
Radau,109.96,16.95,-4.71,17.88,16.03,-3.73,-5.67,"Crater, craters",mc11,Approved,Rodolphe; French astronomer (1835-1911).
Raga,3.43,-48.1,-117.58,-48.07,-48.13,-117.54,-117.62,"Crater, craters",mc25,Approved,Town in South Sudan.
Rahe,34.44,25.05,-97.48,25.26,24.85,-97.19,-97.77,"Crater, craters",mc09,Approved,Jurgen; American astronomer and NASA program director (1940-1997).
Rahway Valles,346.19,8.46,173.58,10.38,6.97,176.1,170.19,"Vallis, valles",mc15,Approved,"River in New Jersey, USA."
Rakke,18.47,-4.57,-43.36,-4.41,-4.72,-43.2,-43.51,"Crater, craters",mc19,Approved,Town in Estonia.
Rana,12.33,-25.59,-21.8,-25.49,-25.7,-21.68,-21.91,"Crater, craters",mc19,Approved,Town in Norway.
Raub,6.95,42.38,135.11,42.44,42.32,135.19,135.04,"Crater, craters",mc07,Approved,Town in Malaysia.
Rauch,32.9,21.56,-58.13,21.84,21.28,-57.83,-58.43,"Crater, craters",mc10,Approved,Town in Argentina.
Rauna,2.53,35.26,-32.08,35.28,35.24,-32.06,-32.11,"Crater, craters",mc04,Approved,Village in Latvia.
Ravius Valles,388.18,46.12,-110.17,47.72,43.82,-105.48,-114.8,"Vallis, valles",mc03,Approved,Classical name for river in N.W. Ireland.
Ravi Vallis,148.78,-0.42,-40.48,0.16,-0.88,-38.96,-42.4,"Vallis, valles",mc19,Approved,Ancient Pakistani River.
Rayadurg,21.38,-18.45,102.43,-18.27,-18.63,102.63,102.25,"Crater, craters",mc22,Approved,Town in India.
Rayleigh,125.66,-75.57,118.94,-74.51,-76.64,123.23,114.66,"Crater, craters",mc30,Approved,"Strutt, John W., third Baron Rayleigh; British physicist (1842-1919)."
Redi,60.31,-60.33,92.8,-59.82,-60.84,93.83,91.77,"Crater, craters",mc28,Approved,Francesco; Italian physicist (1626-1697).
Renaudot,63.74,42.04,62.68,42.58,41.51,63.41,61.96,"Crater, craters",mc06,Approved,Gabrielle; French astronomer (1877-1962).
Rengo,13.7,-43.45,-43.63,-43.34,-43.57,-43.46,-43.78,"Crater, craters",mc26,Approved,Town in Chile.
Resen,7.4,-27.94,108.87,-27.87,-28,108.94,108.8,"Crater, craters",mc22,Approved,Town in Macedonia.
Reull Vallis,1051.94,-42.14,104.95,-36.82,-42.4,112.83,95.42,"Vallis, valles",mc28,Approved,"Word for ""planet"" in Gaelic."
Reutov,18.02,-45.07,-157.71,-44.91,-45.23,-157.5,-157.93,"Crater, craters",mc24,Approved,"Town in Moscow region, Russia."
Reuyl,84.27,-9.63,166.93,-8.92,-10.34,167.65,166.21,"Crater, craters",mc23,Approved,Dirk; American physicist (1906-1972).
Revda,26.6,-24.28,-28.5,-24.06,-24.5,-28.25,-28.74,"Crater, craters",mc19,Approved,Town in Russia.
Reykholt,52.17,40.48,-86.14,40.92,40.04,-85.56,-86.72,"Crater, craters",mc03,Approved,Town in Iceland.
Reynolds,90.69,-74.99,-157.59,-74.22,-75.75,-154.62,-160.53,"Crater, craters",mc30,Approved,Osborne; British physicist (1842-1912).
Rhabon Valles,245,21.21,-91.27,22.07,20.61,-89.21,-93.56,"Vallis, valles",mc09,Approved,Classical river in Dacia (Romania).
Ribe,11.14,16.49,-29.16,16.58,16.39,-29.05,-29.25,"Crater, craters",mc11,Approved,Town in Denmark.
Richardson,89,-72.47,-179.86,-71.73,-73.33,-177.4,177.44,"Crater, craters",mc30,Approved,"Lewis F.; British meteorologist, chemist (1881-1953)."
Rimac,7.29,44.97,136.06,45.03,44.91,136.15,135.98,"Crater, craters",mc07,Approved,Town in Peru.
Rincon,13.36,-8,-43.01,-7.88,-8.1,-42.89,-43.12,"Crater, craters",mc19,Approved,Town in Netherlands. Antilles (Bonaire Is).
Ritchey,77.23,-28.42,-50.99,-27.77,-29.07,-50.24,-51.72,"Crater, craters",mc18,Approved,George W.; American astronomer (1864-1945).
Robert Sharp,152.08,-4.17,133.42,-2.88,-5.46,134.62,132.22,"Crater, craters",mc22,Approved,Robert Phillip; American geologist (1911-2004).
Roddenberry,139.15,-49.37,-4.43,-48.2,-50.55,-2.64,-6.24,"Crater, craters",mc26,Approved,"Gene; American engineer, television producer (1921-1991)."
Roddy,85.82,-21.65,-39.39,-20.92,-22.37,-38.66,-40.11,"Crater, craters",mc19,Approved,David John; astrogeologist (1932-2002).
Romny,5.39,-25.4,-18.17,-25.35,-25.44,-18.12,-18.22,"Crater, craters",mc19,Approved,Town in Russia.
Rong,8.92,22.46,-45.35,22.53,22.38,-45.27,-45.43,"Crater, craters",mc10,Approved,Town in China (Tibet).
Rongxar,21.63,26.33,-55.44,26.51,26.15,-55.24,-55.64,"Crater, craters",mc10,Approved,"Small village in Tibet, near Mt. Everest."
Roseau,6.49,-41.69,150.57,-41.63,-41.74,150.65,150.5,"Crater, craters",mc29,Approved,Town in Dominica.
Ross,82.51,-57.39,-107.84,-56.7,-58.09,-106.54,-109.12,"Crater, craters",mc25,Approved,Frank E.; American astronomer (1874-1966).
Rossby,80.42,-47.52,167.92,-46.85,-48.2,168.93,166.92,"Crater, craters",mc29,Approved,Carl G.; Swedish-American meteorologist (1898-1957).
Rubicon Valles,308.21,44.41,-117.52,46.98,41.83,-114.93,-120.15,"Vallis, valles",mc03,Approved,Ancient river in Italy.
Ruby,26.43,-25.24,-17.07,-25.01,-25.46,-16.83,-17.32,"Crater, craters",mc19,Approved,"Town in South Carolina, USA."
Rudaux,107.18,38.03,50.96,38.94,37.13,52.11,49.81,"Crater, craters",mc05,Approved,Lucien; French astronomer (1874-1947).
Ruhea,9.5,-43.26,173.08,-43.18,-43.34,173.19,172.97,"Crater, craters",mc29,Approved,Town in Bangladesh.
Runanga,41.36,-26.64,75.96,-26.29,-26.99,76.35,75.57,"Crater, craters",mc21,Approved,Town in New Zealand.
Runa Vallis,36,-28.34,-36.71,-28.05,-28.61,-36.61,-36.88,"Vallis, valles",mc19,Approved,Name proposed by Soviets.
Rupes Tenuis,669.03,81.6,-85.47,82.62,80.64,-59.23,-117.88,"Rupes, rupēs",mc01,Approved,Classical albedo feature name.
Russell,135.08,-54.5,12.43,-53.38,-55.66,14.38,10.46,"Crater, craters",mc27,Approved,Henry N.; American astronomer (1877-1957).
Rutherford,107.08,19.03,-10.59,19.94,18.13,-9.63,-11.54,"Crater, craters",mc11,Approved,Ernest; British physicist (1871-1937).
Ruza,22.25,-34,-52.72,-33.81,-34.19,-52.48,-52.94,"Crater, craters",mc26,Approved,Town in Russia.
Rynok,8.49,44.13,121.76,44.2,44.06,121.86,121.66,"Crater, craters",mc07,Approved,Town in Russia.
Rypin,18.18,-1.28,-40.89,-1.13,-1.44,-40.74,-41.05,"Crater, craters",mc19,Approved,Town in Poland.
Sabis Vallis,212.91,-5.01,-152.51,-3.54,-6.67,-152.13,-152.54,"Vallis, valles",mc16,Approved,Classical name for present Sambre River in France and Belgium.
Sabo,4.39,25.17,-48.94,25.21,25.14,-48.9,-48.98,"Crater, craters",mc10,Approved,Town in Russia.
Sabrina Vallis,280,10.99,-49.04,11.66,10.7,-47.01,-51.06,"Vallis, valles",mc10,Approved,"Classical name for present Severn River, England."
Sacra Dorsa,1416,11.21,-66.09,22.72,-1.14,-58.34,-75.84,"Dorsum, dorsa",mc10,Approved,"From albedo feature at 20N, 67W."
Sacra Fossae,950,20.36,-70,26.76,10.94,-61.89,-73.18,"Fossa, fossae",mc10,Approved,Classical albedo feature name.
Sacra Mensa,577,24.64,-68.22,26.98,22.29,-62.91,-73.37,"Mensa, mensae",mc10,Approved,Albedo feature name.
Sacra Sulci,1009.05,22.16,-74.7,27.8,14.42,-68.24,-78.78,"Sulcus, sulci",mc10,Approved,"From albedo feature at 20N, 67W."
Sagan,90.26,10.72,-30.6,11.48,9.96,-29.83,-31.38,"Crater, craters",mc11,Approved,Carl E.; American astronomer (1934-1996).
Saheki,82.44,-21.74,73.14,-21.05,-22.44,73.88,72.39,"Crater, craters",mc21,Approved,Tsuneo; Japanese amateur astronomer (1916-1996).
Salaga,28.03,-47.19,-51.11,-46.95,-47.42,-50.76,-51.45,"Crater, craters",mc26,Approved,Town in Ghana.
Salkhad,42,-29.85,83.69,-29.5,-30.19,84.12,83.31,"Crater, craters",mc21,Approved,Town in Syria.
Samara Valles,661.84,-24.17,-18.73,-20.3,-27.22,-15.35,-21.4,"Vallis, valles",mc19,Approved,"Ancient name for modern Somme River, France."
Sandila,13.32,-25.56,-30.35,-25.44,-25.67,-30.23,-30.47,"Crater, craters",mc19,Approved,Town in India.
Sangar,30.33,-27.53,-24.34,-27.27,-27.79,-24.04,-24.62,"Crater, craters",mc19,Approved,Town in Russia.
San Juan,1.23,22.87,-48.04,22.88,22.86,-48.03,-48.05,"Crater, craters",mc10,Approved,Puerto Rican port.
Santaca,15.85,-41.06,87.37,-40.93,-41.2,87.55,87.2,"Crater, craters",mc28,Approved,Town in Mozambique.
Santa Cruz,1.35,21.25,-47.26,21.26,21.23,-47.25,-47.28,"Crater, craters",mc10,Approved,Port of Canary Islands.
Santa Fe,20.3,19.28,-47.95,19.45,19.11,-47.76,-48.13,"Crater, craters",mc10,Approved,"Town in New Mexico, USA."
Saravan,46.89,-16.93,-54.02,-16.53,-17.32,-53.61,-54.43,"Crater, craters",mc18,Approved,Town in Laos. 
Sarh,50.27,-64.85,-14.58,-64.42,-65.27,-13.56,-15.56,"Crater, craters",mc26,Approved,Town in the Republic of Chad.
Sarn,11.37,-77.34,-54.72,-77.24,-77.43,-54.25,-55.13,"Crater, craters",mc30,Approved,Town in Wales.
Sarno,20.29,-44.37,-54.15,-44.19,-44.54,-53.91,-54.39,"Crater, craters",mc26,Approved,Town in Italy.
Satka,18.8,-42.68,-36.94,-42.52,-42.84,-36.71,-37.14,"Crater, craters",mc26,Approved,Town in Russia.
Sauk,3.08,-44.67,-32.56,-44.64,-44.69,-32.52,-32.59,"Crater, craters",mc26,Approved,"Town in Wisconsin, USA."
Savannah,1.34,22.02,-47.78,22.03,22.01,-47.77,-47.79,"Crater, craters",mc10,Approved,American colonial town (Georgia).
Sava Vallis,62,19.09,77.13,19.43,18.74,77.56,76.69,"Vallis, valles",mc13,Approved,River in Slovenia.
Savich,179.06,-27.49,96.12,-25.98,-29,97.83,94.42,"Crater, craters",mc22,Approved,Aleksey N. Savich; Russian astronomer (1811-1883).
Say,13.59,-28.07,-29.67,-27.95,-28.18,-29.54,-29.8,"Crater, craters",mc19,Approved,Town in Niger.
Scamander Vallis,269,15.89,28.53,17.67,13.98,29.29,28.42,"Vallis, valles",mc12,Approved,Ancient name of river at Troy (modern Turkey).
Scandia,0,60.21,-147.9,60.51,60.11,-147.2,-148.7,Albedo Feature,mc02,Approved,Southern Scandinavia.
Scandia Cavi,663.8,77.55,-150.35,78.76,75.53,-123.45,-177.28,"Cavus, cavi",mc01,Approved,"Named for classical albedo feature at 65N, 150W."
Scandia Colles,1521.68,65.47,-139.13,70.94,55.77,-104.73,-161.14,"Collis, colles",mc01,Approved,From albedo feature name.
Scandia Tholi,398.27,73.91,-158.72,74.97,72.18,-147.3,-170.81,"Tholus, tholi",mc01,Approved,"Named for classical albedo feature at 65N, 150W."
Schaeberle,158.67,-24.37,50.23,-23.04,-25.71,51.7,48.76,"Crater, craters",mc21,Approved,John M.; American astronomer (1853-1924).
Schiaparelli,458.52,-2.71,16.77,1.15,-6.59,20.65,12.9,"Crater, craters",mc20,Approved,Giovanni V.; Italian astronomer (1835-1910).
Schmidt,201.35,-72.07,-77.9,-70.36,-73.77,-72.34,-83.45,"Crater, craters",mc30,Approved,Johann F.; German astronomer (1825-1884); Otto Y.; Russian geophysicist (1891-1956).
Schöner,198.96,19.93,50.7,21.61,18.25,52.49,48.91,"Crater, craters",mc13,Approved,Johannes; German geographer (1477-1547).
Schroeter,291.59,-1.9,55.99,0.56,-4.36,58.46,53.53,"Crater, craters",mc21,Approved,Johann H.; German astronomer (1745-1816).
Scylla Scopulus,476.91,-25.22,18.34,-21.61,-28.36,19.52,16.79,"Scopulus, scopuli",mc20,Approved,"From albedo feature at 19S, 320W."
Sebec,63.54,-39.5,99.41,-38.97,-40.04,100.11,98.72,"Crater, craters",mc28,Approved,"Town in Maine , USA."
Secchi,223.41,-57.84,102.15,-55.95,-59.72,105.69,98.61,"Crater, craters",mc28,Approved,Angelo; Italian astronomer (1818-1878).
Sedona,7.4,17.84,77.54,17.9,17.78,77.6,77.48,"Crater, craters",mc13,Approved,"Town in Arizona, USA."
Sefadu,10.84,28.74,-34.97,28.83,28.65,-34.87,-35.08,"Crater, craters",mc11,Approved,Town in Sierra Leone.
Selevac,7.3,-37.39,-131.07,-37.33,-37.45,-130.99,-131.14,"Crater, craters",mc24,Approved,Village in Serbia.
Semeykin,73.51,41.51,8.75,42.14,40.9,9.58,7.92,"Crater, craters",mc05,Approved,Boris Evgen'evich; Soviet astronomer (1900-1937).
Seminole,20.64,-24.18,-19.11,-24.01,-24.35,-18.92,-19.3,"Crater, craters",mc19,Approved,"Town in Florida, USA."
Senus Vallis,22.18,-5.23,-146.96,-5.07,-5.4,-146.77,-147.07,"Vallis, valles",mc16,Approved,Classical river in Ireland.
Sepik Vallis,59,-1.01,-65.73,-0.7,-1.21,-65.41,-66.15,"Vallis, valles",mc18,Approved,River in New Guinea.
Sera,28,8.84,-1.05,9.08,8.59,-0.82,-1.29,"Crater, craters",mc11,Approved,Town in Japan.
Sevel,7.39,79.21,-36.22,79.28,79.15,-35.88,-36.55,"Crater, craters",mc01,Approved,Town in Denmark.
Sevi,3.2,18.89,103.03,18.92,18.87,103.06,103,"Crater, craters",mc14,Approved,Town in Russia.
Sfax,6.7,-7.67,-43.42,-7.61,-7.72,-43.36,-43.47,"Crater, craters",mc19,Approved,Town in Tunisia.
Shalbatana Vallis,1029,7.33,-42.09,15.72,0.23,-39.78,-45.13,"Vallis, valles",mc11,Approved,"Word for ""Mars"" in Akkadian."
Shambe,35.58,-20.58,-30.69,-20.28,-20.88,-30.36,-31,"Crater, craters",mc19,Approved,Town in Sudan.
Shardi,16.71,10.05,-15.32,10.19,9.91,-15.18,-15.47,"Crater, craters",mc11,Approved,Town in Pakistan.
Sharonov,99.92,27,-58.53,27.84,26.16,-57.58,-59.47,"Crater, craters",mc10,Approved,Vsevolod V.; Russian astronomer (1901-1964).
Shatskiy,69.46,-32.36,-14.89,-31.77,-32.94,-14.19,-15.57,"Crater, craters",mc26,Approved,N. S.; Russian geologist.
Shawnee,16.71,22.49,-31.51,22.63,22.35,-31.36,-31.66,"Crater, craters",mc11,Approved,"Town in Ohio, USA."
Sian,4.06,19.96,-48,20,19.93,-47.97,-48.04,"Crater, craters",mc10,Approved,Town in Russia.
Sibiti,33,-12.37,-65.26,-12.1,-12.64,-64.98,-65.54,"Crater, craters",mc18,Approved,Town in the Republic of Congo (Congo-Brazzaville).
Sibu,17.63,-23.02,-19.72,-22.87,-23.17,-19.55,-19.88,"Crater, craters",mc19,Approved,Town in Malaysia.
Sibut,22.18,9.68,-49.35,9.86,9.5,-49.16,-49.54,"Crater, craters",mc10,Approved,Town in Central African Republic.
Sigli,30.3,-20.31,-30.81,-20.06,-20.57,-30.53,-31.08,"Crater, craters",mc19,Approved,Town in Indonesia.
Silinka Vallis,150.93,9.13,-28.05,9.91,8.49,-27.57,-28.91,"Vallis, valles",mc11,Approved,River in Russia.
Siloe Patera,39.08,35.3,6.55,35.64,34.98,6.89,6.2,"Patera, paterae",mc05,Approved,Classical albedo feature name.
Simois Colles,86.94,-37.72,-176.59,-36.94,-38.51,-175.62,-177.48,"Collis, colles",mc24,Approved,Classical albedo feature name of Greek origin.
Simois Mons,91.53,-42.67,-163.24,-41.94,-43.47,-162.41,-163.98,"Mons, montes",mc24,Approved,"Classical albedo feature name of Greek origin, Simois."
Simud Valles,987.99,19.09,-38.01,27.2,10.97,-33.93,-43.42,"Vallis, valles",mc11,Approved,"Word for ""Mars"" in Sumerian."
Sinai,0,-19.78,-70,-19.78,-19.78,-70,-70,Albedo Feature,mc18,Approved,Biblical; named for area next to Mare Erythraeum (Indian Ocean).
Sinai Dorsa,456.54,-12.77,-78.92,-10.21,-15.17,-74.97,-82.89,"Dorsum, dorsa",mc18,Approved,Classical albedo feature name.
Sinai Fossae,589.15,-14.08,-78.67,-10.59,-17.95,-74.25,-84.56,"Fossa, fossae",mc18,Approved,Classical albedo feature name.
Sinai Planum,901.44,-13.72,-87.76,-7.34,-19.76,-80.1,-95.83,"Planum, plana",mc18,Approved,Classical albedo feature name.
Sinai Tholus,200,-15.54,-80.03,-14.52,-16.6,-78.41,-81.73,"Tholus, tholi",mc18,Approved,"Classical albedo feature, Sinai."
Sinda,6.67,15.75,111.28,15.8,15.69,111.34,111.22,"Crater, craters",mc14,Approved,Town in Russia.
Singa,13.14,-22.43,-17.33,-22.32,-22.55,-17.21,-17.45,"Crater, craters",mc19,Approved,Town in Sudan.
Sinop,14.72,-23.28,110.62,-23.16,-23.41,110.76,110.49,"Crater, craters",mc22,Approved,Town in Turkey.
Sinton,62.8,40.75,31.73,41.28,40.22,32.43,31.03,"Crater, craters",mc05,Approved,William M.; American astronomer (1925-2004).
Sinus Meridiani,0,-4.94,0,-4.94,-4.94,0,0,Albedo Feature,mc19,Approved,"""Middle Bay,"" from Flammarion map."
Sinus Sabaeus,0,-7.91,20,-7.91,-7.91,20,20,Albedo Feature,mc20,Approved,Today's Red Sea; Saba was part of southern Arabian Peninsula.
Sirenum Fossae,2731.21,-35.57,-162.74,-23.29,-39.67,-136.38,172.04,"Fossa, fossae",mc24,Approved,Classical albedo feature name.
Sirenum Mons,122.86,-38.22,-147.85,-37.27,-39.09,-146.51,-149.15,"Mons, montes",mc24,Approved,Classical albedo feature name.
Sirenum Tholus,53.9,-34.64,-144.79,-34.23,-35.05,-144.23,-145.34,"Tholus, tholi",mc24,Approved,Classical albedo feature name.
Sisyphi Cavi,423.63,-72.2,-6.3,-69.8,-76.17,4.51,-17,"Cavus, cavi",mc30,Approved,Classical albedo feature name.
Sisyphi Montes,200,-69.65,13.08,-68.31,-71.25,17.21,10.49,"Mons, montes",mc30,Approved,"From albedo feature at 67S, 348W."
Sisyphi Planum,1032.87,-69.64,6.41,-60.2,-77.32,34.88,-15.95,"Planum, plana",mc30,Approved,Classical albedo feature name.
Sisyphi Tholus,27.52,-75.68,-18.53,-75.48,-75.89,-17.59,-19.42,"Tholus, tholi",mc30,Approved,Classical albedo feature name.
Sithonius Lacus,0,44.66,115,44.66,44.66,115,115,Albedo Feature,mc06,Approved,Region inhabited by Sithonii; synonym of Thrace.
Sitka,16.89,-4.28,-39.23,-4.14,-4.43,-39.09,-39.37,"Crater, craters",mc19,Approved,"Town in Alaska, USA."
Siton Undae,222.97,75.55,-62.72,77.5,73.79,-58.6,-68.62,"Unda, undae",mc01,Approved,Classical albedo feature name.
Sitrah,33.09,-59.09,-142.28,-58.81,-59.37,-141.76,-142.81,"Crater, craters",mc24,Approved,Village in Bahrain.
Sklodowska,109.72,33.52,-2.95,34.45,32.6,-1.84,-4.06,"Crater, craters",mc04,Approved,Marie; Polish-born French chemist (Mme P. Curie) (1867-1934).
Slipher,127.14,-47.34,-84.46,-46.27,-48.42,-82.87,-86.03,"Crater, craters",mc25,Approved,Vesto M.; American astronomer (1875-1969); Earl C.; American astronomer (1883-1964).
Smith,74.33,-65.76,-102.73,-65.19,-66.34,-101.24,-104.23,"Crater, craters",mc30,Approved,William; British geologist-engineer (1769-1839).
Soffen,58.31,-23.73,140.86,-23.24,-24.22,141.4,140.33,"Crater, craters",mc23,Approved,Gerald A.; American astrobiologist (1926-2000).
Sögel,28.45,21.43,-55.15,21.68,21.2,-54.89,-55.41,"Crater, craters",mc10,Approved,Town in Germany.
Sokol,22.18,-42.37,-40.68,-42.18,-42.56,-40.42,-40.93,"Crater, craters",mc26,Approved,Town in Russia.
Solano,9,-26.74,108.95,-26.66,-26.81,109.03,108.86,"Crater, craters",mc22,Approved,Town in Philippines.
Solis Dorsa,779.5,-22.88,-79.74,-16.39,-29.32,-73.21,-86.99,"Dorsum, dorsa",mc18,Approved,Classical albedo feature name.
Solis Lacus,0,-27.72,-90,-27.72,-27.72,-90,-90,Albedo Feature,mc17,Approved,"""Lake of the Sun""; the so-called ""Eye of Mars,"" connecting East with West."
Solis Planum,1811.23,-26.4,-89.67,-16.62,-34.97,-73.1,-105.58,"Planum, plana",mc18,Approved,Classical albedo feature name.
Somerset,3.33,-9.73,-51.26,-9.71,-9.76,-51.23,-51.28,"Crater, craters",mc18,Approved,"Town in Pennsylvania, USA."
Soochow,30.06,16.73,-28.82,16.98,16.47,-28.55,-29.08,"Crater, craters",mc11,Approved,Town in China (Kiangsu).
Souris,2.93,19.47,113.31,19.5,19.45,113.34,113.29,"Crater, craters",mc14,Approved,"Town in Manitoba, Canada."
South,101.84,-76.94,21.91,-76.08,-77.8,25.71,18.11,"Crater, craters",mc30,Approved,James; British astronomer (1785-1867).
Spallanzani,71.69,-58.01,86.38,-57.4,-58.61,87.52,85.24,"Crater, craters",mc28,Approved,Lazzaro; Italian biologist (1729-1799).
Spry,7.67,-3.7,-38.43,-3.63,-3.76,-38.37,-38.5,"Crater, craters",mc19,Approved,"Town in Utah, USA."
Spur,8.09,22.02,-52.26,22.09,21.95,-52.19,-52.34,"Crater, craters",mc10,Approved,"Town in Texas, USA."
Srīpur,22.99,-30.74,-100.71,-30.55,-30.93,-100.49,-100.94,"Crater, craters",mc25,Approved,Town in Bangladesh.
Stege,76.44,3.75,-59.5,4.4,3.11,-58.85,-60.14,"Crater, craters",mc10,Approved,Town in Denmark.
Steinheim,11.28,54.57,-169.35,54.67,54.48,-169.18,-169.51,"Crater, craters",mc02,Approved,"Town in Baden-Württemberg, Germany."
Steno,103.54,-67.75,-115.37,-66.88,-68.63,-113.05,-117.67,"Crater, craters",mc30,Approved,Nicolaus; Danish geologist (1638-1686).
Stobs,12.06,-4.96,-38.3,-4.85,-5.06,-38.19,-38.4,"Crater, craters",mc19,Approved,Town in Scotland.
Stokes,62.74,55.63,171.29,56.16,55.1,172.23,170.36,"Crater, craters",mc07,Approved,George G.; British physicist (1819-1903).
Ston,6.49,46.87,122.55,46.93,46.82,122.64,122.48,"Crater, craters",mc07,Approved,Town in Croatia.
Stoney,161.37,-69.61,-138.51,-68.25,-70.97,-134.59,-142.41,"Crater, craters",mc30,Approved,George J.; Irish physicist (1826-1911).
Stura Vallis,75,22.71,142.47,23.02,22.34,143.06,141.85,"Vallis, valles",mc15,Approved,"Classical river east of Rome, Italy."
Stygis Catena,65.38,23.25,150.57,23.77,22.75,150.76,150.33,"Catena, catenae",mc15,Approved,"From albedo feature at 30N, 200W."
Stygis Fossae,385,26.92,149.83,28.69,24.1,151.29,146.28,"Fossa, fossae",mc15,Approved,Albedo feature name.
Styx,0,29.71,160,29.71,29.71,160,160,Albedo Feature,mc15,Approved,"Great river around nether region, which souls must cross on journey from Earth."
Styx Dorsum,90.67,30.81,151.86,31.51,30.2,152.03,151.45,"Dorsum, dorsa",mc07,Approved,Albedo feature name.
Suata,23.9,-18.91,106.67,-18.71,-19.11,106.88,106.46,"Crater, craters",mc22,Approved,Town in Venezuela.
Subur Vallis,26.2,11.63,-53.15,11.72,11.5,-52.96,-53.26,"Vallis, valles",mc10,Approved,Classical river in Mauritania.
Sucre,13.56,23.69,-54.59,23.81,23.58,-54.46,-54.71,"Crater, craters",mc10,Approved,Town in Colombia.
Suess,71.9,-66.88,-178.49,-66.27,-67.49,-176.93,179.96,"Crater, craters",mc30,Approved,"Eduard; Austrian geologist, engineer (1831-1914)."
Sūf,9.41,16.34,-38.22,16.42,16.26,-38.14,-38.3,"Crater, craters",mc11,Approved,Town in Jordan.
Sulak,25,18.17,-78.61,18.38,17.96,-78.38,-78.83,"Crater, craters",mc10,Approved,Town in Russia.
Sulci Gordii,400,19.02,-125.73,22.11,15.9,-123.82,-127.38,"Sulcus, sulci",mc09,Approved,Classical albedo feature name.
Sumgin,78.6,-36.53,-48.67,-35.87,-37.2,-47.84,-49.49,"Crater, craters",mc26,Approved,M. I.; Russian cryopedologist.
Sungari Vallis,344.82,-40.33,88.5,-39.1,-41.18,91.36,85.45,"Vallis, valles",mc28,Approved,"River in China, also known as Songhua Jiang."
Surinda Valles,80.07,-28.8,-35.11,-28.22,-29.37,-34.35,-35.88,"Vallis, valles",mc19,Approved,Name proposed by Soviets; found on Mars-5 Map.
Surius Vallis,30.76,-61.2,-48.72,-56.23,-64.52,-46.22,-54.78,"Vallis, valles",mc26,Approved,Lowell canal name.
Surt,9.85,16.85,-30.64,16.93,16.77,-30.55,-30.73,"Crater, craters",mc11,Approved,Town in Libya.
Suzhi,24.63,-27.41,86.1,-27.2,-27.61,86.33,85.86,"Crater, craters",mc21,Approved,Town in China.
Swanage,18.68,26.45,-33.67,26.61,26.3,-33.49,-33.84,"Crater, craters",mc11,Approved,Town in England.
Syria,0,-19.78,-100,-19.78,-19.78,-100,-100,Albedo Feature,mc17,Approved,Province in Near East including Phoenicia; or one of the Cyclades (Homer).
Syria Colles,630,-13.46,-100.73,-8.55,-18.06,-96.08,-105.22,"Collis, colles",mc17,Approved,"Classical albedo feature name, Syria."
Syria Mons,73.47,-13.88,-104.27,-13.27,-14.49,-103.72,-104.83,"Mons, montes",mc17,Approved,Classical albedo feature name. 
Syria Planum,735.74,-12.09,-103.9,-7.8,-16.84,-97.55,-110.25,"Planum, plana",mc17,Approved,Classical albedo feature name.
Syrtis Major,0,9.88,70,9.88,9.88,70,70,Albedo Feature,mc13,Approved,"Libyan Gulf, now Gulf of Sirte."
[Syrtis Major Planitia],1262,9.39,69.5,19.78,-0.99,77,62,"Planitia, planitiae",mc13,Dropped,Classical albedo feature name; changed from Planitia to Planum 1982.
Syrtis Major Planum,1214.86,9.2,67.1,19.41,-1.37,76.64,58.88,"Planum, plana",mc13,Approved,Albedo feature name; changed from Planitia to Planum.
